,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
40862,P3/4 Canopy_Found3,8,maxMzz,C14p2447,14,STR/GEO Set B,-9.20169590879798,-2.1240960831069944,34.081958353393375,-46.10633733234882,-39.42883224797249,0.0003191621816344559
40733,P3/4 Canopy_Found3,8,minMzz,C14p2318,14,STR/GEO Set B,7.4341336393543465,17.152937900509784,96.0304779705474,-22.290815631695608,31.850697828525444,-0.00037592625724679483
58569,P5/6 Canopy_Found1,128,maxFx,C14p3690,14,STR/GEO Set B,3.970138361927271,1.7902894778442384,77.51718278078795,12.439180637207032,17.011595149550438,-0.00013206473623169585
58250,P5/6 Canopy_Found1,128,minFx,C14p3371,14,STR/GEO Set B,-4.578656983927964,10.580200407237731,1.7093180900892628,2.612502279404798,-19.618682062650077,0.00029294693105199156
58299,P5/6 Canopy_Found1,128,maxFy,C14p3420,14,STR/GEO Set B,-3.3083796473305216,36.471388814372744,24.92344819372206,-72.51309587275584,-14.175702155423515,4.075870204993312e-05
57476,P5/6 Canopy_Found1,128,minFy,C14p2597,14,STR/GEO Set B,2.2681119931900504,-2.7314019581604003,105.12980996460081,-19.62301974731445,9.719335818395615,-7.209058453328906e-05
57077,P5/6 Canopy_Found1,128,maxFz,C14p2198,14,STR/GEO Set B,-3.945601093987702,7.799570136089051,171.56057817459907,5.477908384446304,-16.905017232895247,0.00013342825192536018
58506,P5/6 Canopy_Found1,128,minFz,C14p3627,14,STR/GEO Set B,2.895451178904772,27.32632799407959,-32.991866388335225,-90.68786924682617,12.4061573184824,-0.0001393133955472149
56554,P5/6 Canopy_Found1,128,maxMxx,C14p1675,14,STR/GEO Set B,2.2247331791598812,7.852879533824646,54.025952332714795,47.513837224778335,9.532489441713937,7.072671642803375e-05
58783,P5/6 Canopy_Found1,128,minMxx,C14p3904,14,STR/GEO Set B,-3.2706211117184165,27.922223359375003,104.75833957354637,-123.41100742858889,-14.013089642691611,-7.667675508419052e-05
58569,P5/6 Canopy_Found1,128,maxMyy,C14p3690,14,STR/GEO Set B,3.970138361927271,1.7902894778442384,77.51718278078795,12.439180637207032,17.011595149550438,-0.00013206473623169585
58250,P5/6 Canopy_Found1,128,minMyy,C14p3371,14,STR/GEO Set B,-4.578656983927964,10.580200407237731,1.7093180900892628,2.612502279404798,-19.618682062650077,0.00029294693105199156
56934,P5/6 Canopy_Found1,128,maxMzz,C14p2055,14,STR/GEO Set B,-4.040603229729413,11.032522224635803,24.428084652253094,-0.6949710192402211,-17.31320941646134,0.00032254469088089434
58597,P5/6 Canopy_Found1,128,minMzz,C14p3718,14,STR/GEO Set B,2.965934012409449,24.857894114990238,77.51263156329155,-86.33549096313476,12.708764674696923,-0.00027971714899642394
75033,P5/6 Canopy_Found2,99,maxFx,C14p3690,14,STR/GEO Set B,6.138896416713,-3.296182845001221,46.684827115268114,25.90844408721924,26.304759357266427,-0.00016618537680711598
74714,P5/6 Canopy_Found2,99,minFx,C14p3371,14,STR/GEO Set B,-7.164649532040054,-2.354607841593916,1.272106439213159,-4.737263901030786,-30.69976845449606,0.00033343293247543865
75044,P5/6 Canopy_Found2,99,maxFy,C14p3701,14,STR/GEO Set B,-5.894782352741957,17.38605183647156,36.383616569108966,-71.85638537139894,-25.25815552058697,4.195063885767013e-05
73459,P5/6 Canopy_Found2,99,minFy,C14p2116,14,STR/GEO Set B,5.534291919828958,-7.552527304522688,12.753081490280332,25.163399711334936,23.713918553942058,-7.192045480679135e-05
73275,P5/6 Canopy_Found2,99,maxFz,C14p1932,14,STR/GEO Set B,4.959866745556899,5.681894817860429,102.25307924208401,-26.242359991729028,21.252713570516917,-6.966083330535676e-05
75100,P5/6 Canopy_Found2,99,minFz,C14p3757,14,STR/GEO Set B,-7.120386154659988,-0.024947317047119413,-30.860394171138406,2.9055165298461922,-30.510112851862914,0.0002502566284826025
73467,P5/6 Canopy_Found2,99,maxMxx,C14p2124,14,STR/GEO Set B,5.508001834894724,-5.2363430786773515,40.99223119731159,62.555503641999,23.6012623386558,-4.495818403284411e-05
75052,P5/6 Canopy_Found2,99,minMxx,C14p3709,14,STR/GEO Set B,-5.872289381417037,15.899878625946046,57.08154022633552,-100.25291584014894,-25.161834479479793,1.6351459440775223e-05
75033,P5/6 Canopy_Found2,99,maxMyy,C14p3690,14,STR/GEO Set B,6.138896416713,-3.296182845001221,46.684827115268114,25.90844408721924,26.304759357266427,-0.00016618537680711598
74714,P5/6 Canopy_Found2,99,minMyy,C14p3371,14,STR/GEO Set B,-7.164649532040054,-2.354607841593916,1.272106439213159,-4.737263901030786,-30.69976845449606,0.00033343293247543865
73398,P5/6 Canopy_Found2,99,maxMzz,C14p2055,14,STR/GEO Set B,-6.6285431347212125,-1.8353835013458086,26.72783563180238,-11.717237791716821,-28.402435939160977,0.0003675388370387688
