,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
10,10,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-3183.763703466797,36.66688854446412,-107.59588383178712,0.0,246.3207011474609,172.44238684387204,21,PN10,SLS - Variable Actions (Env.)
11,11,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-3197.1692520507813,36.66688854446412,-107.59588383178712,0.0,192.52276166992192,154.1089363559723,21,PN10,SLS - Variable Actions (Env.)
12,12,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-2277.252071166992,6.068155906677246,-35.09702922058106,0.0,135.14231420898437,83.69857817077637,22,PN10,SLS - Quasi-permanent (Env.)
13,13,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-2290.6576197509767,6.068155906677246,-35.09702922058106,0.0,117.59380920410156,80.66449923706055,22,PN10,SLS - Quasi-permanent (Env.)
14,14,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-2143.379659912109,4.551652841567993,-33.38156344604492,0.0,147.43093347167968,76.24600498962403,22,PN10,SLS - Quasi-permanent (Env.)
15,15,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-2156.7852084960937,4.551652841567993,-33.38156344604492,0.0,130.7401524658203,73.97017904281617,22,PN10,SLS - Quasi-permanent (Env.)
16,16,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-6273.086451112061,207.97495137765884,-222.7956290061951,0.0,552.8341635510253,686.8326677128603,23,PN10,ULS - Set A/B - Variable Actions (Env.)
17,17,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-6291.18394170044,207.97495137765884,-222.7956290061951,0.0,441.43634329833975,582.8451639973449,23,PN10,ULS - Set A/B - Variable Actions (Env.)
18,18,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-5308.34454217041,200.00549768894192,-228.19249856994628,0.0,500.97912317504887,623.9963229298402,23,PN10,ULS - Set A/B - Variable Actions (Env.)
19,19,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-5321.079813325196,200.00549768894192,-228.19249856994628,0.0,386.8828641040039,523.9935468963622,23,PN10,ULS - Set A/B - Variable Actions (Env.)
20,20,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p3,-4674.948734520264,77.36950397806167,-120.3288783293152,0.0,337.4581551281738,322.6317149388123,23,PN10,ULS - Set A/B - Variable Actions (Env.)
21,21,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p3,-4693.046225108642,77.36950397806167,-120.3288783293152,0.0,277.2937090966797,283.94695362640374,23,PN10,ULS - Set A/B - Variable Actions (Env.)
22,22,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p4,-3647.217122016602,68.5243894012451,-126.6178516885376,0.0,277.517700579834,252.7539640193177,23,PN10,ULS - Set A/B - Variable Actions (Env.)
23,23,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p4,-3659.952393171387,68.5243894012451,-126.6178516885376,0.0,214.20877759277343,218.49176092239375,23,PN10,ULS - Set A/B - Variable Actions (Env.)
24,24,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,-4927.018535213622,62.8342791792488,-173.46170594589236,0.0,365.5592116320802,284.9293512406922,23,PN10,ULS - Set A/B - Variable Actions (Env.)
25,25,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,-4945.116025802002,62.8342791792488,-173.46170594589236,0.0,278.82837152587894,253.5122013572692,23,PN10,ULS - Set A/B - Variable Actions (Env.)
26,26,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,-4043.104943693848,55.98161551357271,-177.7988371673584,0.0,323.4159055529784,230.99729638809205,23,PN10,ULS - Set A/B - Variable Actions (Env.)
27,27,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,-4055.840214848633,55.98161551357271,-177.7988371673584,0.0,234.5164975073242,203.00648002952576,23,PN10,ULS - Set A/B - Variable Actions (Env.)
