,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
1573,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-8713.081666015625,1573
2816,PN10,107,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),4321.447868770752,2816
17,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6291.18394170044,17
2458,PN09,108,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),-458.2808006787109,2458
457,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-9930.61918214844,457
1706,PN07,109,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),-1416.4956777294915,1706
1305,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-12051.045033154296,1305
2938,PN8,110,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),3235.431148754883,2938
137,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6600.551028466798,137
2184,PN02,111,maxFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),2952.360576682129,2184
985,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-5647.491989411621,985
1818,PN01,112,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),338.7601660546876,1818
1417,PN01,112,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-9919.267167060549,1417
1858,PN03,113,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),110.53148976562638,1858
1457,PN03,113,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-13259.775398027345,1457
3106,PN04,114,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),1336.0752400994877,3106
305,PN04,114,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-5789.599384113159,305
3146,PN06,115,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),2154.233082192383,3146
337,PN06,115,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6291.583592031251,337
1978,PN05,116,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),-1000.5597869140634,1978
1577,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-14709.734772519529,1577
2828,PN10,107,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),3671.056551411132,2828
29,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5147.253174086914,29
2470,PN09,108,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C24p2,24,ULS - Set C - Variable Actions (Env.),-812.007184638673,2470
469,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-8045.555441201172,469
1718,PN07,109,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,24,ULS - Set C - Variable Actions (Env.),-2063.8705289111326,1718
517,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),-9563.828797211916,517
2948,PN8,110,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),2762.506309550781,2948
149,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,24,ULS - Set C - Variable Actions (Env.),-5354.07293359375,149
2196,PN02,111,maxFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,24,ULS - Set C - Variable Actions (Env.),2657.8559429345705,2196
