,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
1573,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-8713.081666015625,1573
1216,PN10,107,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),4085.925729708252,1216
17,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6291.18394170044,17
858,PN09,108,maxFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),-643.7752475537104,858
457,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-9930.61918214844,457
106,PN07,109,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),-1615.3912402294916,106
1305,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-12051.045033154296,1305
1338,PN8,110,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),3061.493362817383,1338
137,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6600.551028466798,137
584,PN02,111,maxFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),2685.1266844946285,584
985,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-5647.491989411621,985
218,PN01,112,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),148.55125511718785,218
1417,PN01,112,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-9919.267167060549,1417
258,PN03,113,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,23,ULS - Set A/B - Variable Actions (Env.),-79.04590867187362,258
1457,PN03,113,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-13259.775398027345,1457
1506,PN04,114,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),1150.702185411987,1506
305,PN04,114,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,23,ULS - Set A/B - Variable Actions (Env.),-5789.599384113159,305
1546,PN06,115,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C23p6,23,ULS - Set A/B - Variable Actions (Env.),1974.558483754883,1546
337,PN06,115,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,23,ULS - Set A/B - Variable Actions (Env.),-6291.583592031251,337
