,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz
0,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-4168.458036499023,125.3103051036835,-133.56370536193845,0.0,355.2865860595703,428.80616064147955
1,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-4181.863585083008,125.3103051036835,-133.56370536193845,0.0,288.50472001953125,366.15098968887327
2,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3894.5682770996095,121.77640165939334,-134.087156829834,0.0,347.67275937500006,404.2510450836182
3,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3907.973825683594,121.77640165939334,-134.087156829834,0.0,280.62917497558595,343.3628268352508
4,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p3,-3288.2597919677737,49.76020152702332,-73.73770957336426,0.0,231.84240336914064,219.23223647155763
5,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p3,-3301.665340551758,49.76020152702332,-73.73770957336426,0.0,194.97355507812503,194.35212949905397
6,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p4,-2953.6056028320313,45.38310283508301,-75.1086831604004,0.0,216.52859426269535,187.90686135559082
7,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p4,-2967.0111514160158,45.38310283508301,-75.1086831604004,0.0,178.97425661621097,165.21530424995424
8,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,-3410.4209616943363,39.548946636581434,-107.68106747131348,0.0,248.36351108398435,191.80976504821777
9,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,-3423.8265102783203,39.548946636581434,-107.68106747131348,0.0,194.52298852539062,172.0352874267578
10,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-3183.763703466797,36.66688854446412,-107.59588383178712,0.0,246.3207011474609,172.44238684387204
11,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-3197.1692520507813,36.66688854446412,-107.59588383178712,0.0,192.52276166992192,154.1089363559723
12,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-2277.252071166992,6.068155906677246,-35.09702922058106,0.0,135.14231420898437,83.69857817077637
13,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-2290.6576197509767,6.068155906677246,-35.09702922058106,0.0,117.59380920410156,80.66449923706055
14,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-2143.379659912109,4.551652841567993,-33.38156344604492,0.0,147.43093347167968,76.24600498962403
15,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-2156.7852084960937,4.551652841567993,-33.38156344604492,0.0,130.7401524658203,73.97017904281617
16,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-6273.086451112061,207.97495137765884,-222.7956290061951,0.0,552.8341635510253,686.8326677128603
17,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-6291.18394170044,207.97495137765884,-222.7956290061951,0.0,441.43634329833975,582.8451639973449
18,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-5308.34454217041,200.00549768894192,-228.19249856994628,0.0,500.97912317504887,623.9963229298402
19,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-5321.079813325196,200.00549768894192,-228.19249856994628,0.0,386.8828641040039,523.9935468963622
20,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p3,-4674.948734520264,77.36950397806167,-120.3288783293152,0.0,337.4581551281738,322.6317149388123
21,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p3,-4693.046225108642,77.36950397806167,-120.3288783293152,0.0,277.2937090966797,283.94695362640374
22,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p4,-3647.217122016602,68.5243894012451,-126.6178516885376,0.0,277.517700579834,252.75396401931772
23,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p4,-3659.952393171387,68.5243894012451,-126.6178516885376,0.0,214.20877759277343,218.49176092239378
24,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,-4927.018535213622,62.8342791792488,-173.46170594589236,0.0,365.5592116320802,284.9293512406922
25,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,-4945.116025802002,62.8342791792488,-173.46170594589236,0.0,278.82837152587894,253.51220135726922
26,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,-4043.1049436938474,55.981615513572706,-177.7988371673584,0.0,323.4159055529784,230.99729638809205
27,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,-4055.840214848633,55.981615513572706,-177.7988371673584,0.0,234.5164975073242,203.00648002952576
28,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,-5133.84762550293,176.65530901474,-189.84803622619629,0.0,461.2526143701171,578.0538449053954
29,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,-5147.253174086914,176.65530901474,-189.84803622619629,0.0,366.3285865820312,489.7261678575134
30,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,-4811.926127700196,172.45270835479735,-191.07523301940918,0.0,447.27785722167965,548.0973565380857
31,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p2,-4825.3316762841805,172.45270835479735,-191.07523301940918,0.0,351.74023244140625,461.8709792277527
32,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p3,-3778.6733777392583,65.83046473037719,-102.89309672363282,0.0,278.51630023437497,269.03950279418945
33,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p3,-3792.0789263232427,65.83046473037719,-102.89309672363282,0.0,227.06975659912115,236.12425936172488
34,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p4,-3402.949071853028,60.88054872600556,-104.88184190948486,0.0,257.6003942700195,233.060261182251
35,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p4,-3416.3546204370123,60.88054872600556,-104.88184190948486,0.0,205.15947656982416,202.61997921958928
36,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,-3984.0673487646486,53.519882857360834,-147.39984048278808,0.0,301.9306534863281,236.96410398010258
37,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p5,-3997.472897348633,53.519882857360834,-147.39984048278808,0.0,228.23073478515622,210.2041525390625
38,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,-3730.7854614697267,50.26640871871947,-147.72174624328613,0.0,296.2287336865234,214.57145343566896
39,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,-3744.191010053711,50.26640871871947,-147.72174624328613,0.0,222.3678670068359,189.43824134613038
40,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-3682.8770930664055,119.22957640991211,-108.54135736541748,0.0,283.3606131164551,413.29542260742187
41,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-3696.2826414062492,119.22957640991211,-108.54135736541748,0.0,229.0899625976563,353.68064667968747
42,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3280.370832910156,114.77481239166259,-109.14479407196045,0.0,276.8267534484864,383.4014702636719
