,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
24,24,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-4691.496396151123,62.76136261735916,-173.5389641432953,0.0,365.02775072814944,283.49969959274296,23,PN10,ULS - Set A/B - Variable Actions (Env.)
25,25,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-4709.593886739502,62.76136261735916,-173.5389641432953,0.0,278.2582815386963,252.1190079490661,23,PN10,ULS - Set A/B - Variable Actions (Env.)
26,26,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-3877.367142131349,55.93030385890961,-177.85320404701233,0.0,323.0419145465088,229.99124522842405,23,PN10,ULS - Set A/B - Variable Actions (Env.)
27,27,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-3890.102413286133,55.93030385890961,-177.85320404701233,0.0,234.11532307189933,202.02608466819763,23,PN10,ULS - Set A/B - Variable Actions (Env.)
28,28,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-4959.38678175293,176.6012967466736,-189.90526452056883,0.0,460.8589396264648,576.9948436846923,24,PN10,ULS - Set C - Variable Actions (Env.)
29,29,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-4972.792330336914,176.6012967466736,-189.90526452056883,0.0,365.9062977026367,488.69417274032594,24,PN10,ULS - Set C - Variable Actions (Env.)
30,30,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-4637.465283950196,172.39869608673095,-191.13246131378173,0.0,446.8841824780273,547.0383553173826,24,PN10,ULS - Set C - Variable Actions (Env.)
31,31,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-4650.87083253418,172.39869608673095,-191.13246131378173,0.0,351.3179435620117,460.8389841105652,24,PN10,ULS - Set C - Variable Actions (Env.)
32,32,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p3,-3604.212533989258,65.77645246231079,-102.95032501800536,0.0,278.1226254907226,267.9805015734863,24,PN10,ULS - Set C - Variable Actions (Env.)
33,33,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p3,-3617.618082573242,65.77645246231079,-102.95032501800536,0.0,226.6474677197265,235.09226424453735,24,PN10,ULS - Set C - Variable Actions (Env.)
34,34,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p4,-3228.488228103028,60.82653645793915,-104.93907020385744,0.0,257.2067195263671,232.00125996154785,24,PN10,ULS - Set C - Variable Actions (Env.)
35,35,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p4,-3241.893776687012,60.82653645793915,-104.93907020385744,0.0,204.73718769042964,201.58798410240175,24,PN10,ULS - Set C - Variable Actions (Env.)
36,36,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,-3809.606505014649,53.465870589294425,-147.45706877716063,0.0,301.53697874267573,235.90510275939943,24,PN10,ULS - Set C - Variable Actions (Env.)
37,37,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p5,-3823.012053598633,53.465870589294425,-147.45706877716063,0.0,227.8084459057616,209.172157421875,24,PN10,ULS - Set C - Variable Actions (Env.)
38,38,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p6,-3556.3246177197266,50.21239645065306,-147.77897453765868,0.0,295.83505894287106,213.51245221496583,24,PN10,ULS - Set C - Variable Actions (Env.)
