,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz
0,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-3993.9971927490237,125.25629283561709,-133.62093365631102,0.0,354.89291131591796,427.7471594207764
1,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-4007.4027413330077,125.25629283561709,-133.62093365631102,0.0,288.08243114013675,365.11899457168573
2,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3720.1074333496094,121.72238939132693,-134.14438512420654,0.0,347.2790846313477,403.19204386291506
3,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3733.512981933594,121.72238939132693,-134.14438512420654,0.0,280.2068860961914,342.33083171806334
4,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-3113.7989482177736,49.70618925895691,-73.7949378677368,0.0,231.4487286254883,218.1732352508545
5,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-3127.2044968017576,49.70618925895691,-73.7949378677368,0.0,194.5512661987305,193.32013438186647
6,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-2779.1447590820317,45.32909056701661,-75.16591145477295,0.0,216.134919519043,186.8478601348877
7,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-2792.5503076660157,45.32909056701661,-75.16591145477295,0.0,178.55196773681644,164.18330913276674
8,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-3235.9601179443357,39.494934368515025,-107.73829576568605,0.0,247.969836340332,190.75076382751465
9,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-3249.36566652832,39.494934368515025,-107.73829576568605,0.0,194.1006996459961,171.0032923095703
10,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-3009.302859716797,36.612876276397714,-107.65311212615967,0.0,245.92702640380855,171.38338562316892
11,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-3022.7084083007812,36.612876276397714,-107.65311212615967,0.0,192.1004727905274,153.07694123878483
12,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-2102.791227416992,6.01414363861084,-35.15425751495361,0.0,134.74863946533205,82.63957695007325
13,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-2116.1967760009766,6.01414363861084,-35.15425751495361,0.0,117.17152032470703,79.63250411987305
14,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-1968.9188161621094,4.497640573501587,-33.43879174041748,0.0,147.03725872802735,75.1870037689209
15,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-1982.3243647460938,4.497640573501587,-33.43879174041748,0.0,130.31786358642577,72.93818392562866
16,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-6037.564312049561,207.90203481576918,-222.87288720359805,0.0,552.3027026470946,685.4030160649111
17,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-6055.661802637938,207.90203481576918,-222.87288720359805,0.0,440.8662533111571,581.4519705891419
18,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-5142.60674060791,199.95418603427882,-228.24686544960022,0.0,500.60513216857913,622.9902717701722
19,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-5155.342011762696,199.95418603427882,-228.24686544960022,0.0,386.481689668579,523.0131515350341
20,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-4439.426595457764,77.29658741617203,-120.40613652671816,0.0,336.92669422424325,321.20206329086307
21,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-4457.524086046143,77.29658741617203,-120.40613652671816,0.0,276.72361910949706,282.55376021820064
22,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p4,-3481.479320454102,68.47307774658202,-126.67221856819154,0.0,277.1437095733643,251.7479128596497
23,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p4,-3494.214591608887,68.47307774658202,-126.67221856819154,0.0,213.80760315734858,217.51136556106562
24,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-4691.496396151123,62.76136261735916,-173.5389641432953,0.0,365.02775072814944,283.49969959274296
25,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-4709.593886739502,62.76136261735916,-173.5389641432953,0.0,278.2582815386963,252.1190079490661
26,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-3877.3671421313484,55.93030385890961,-177.85320404701233,0.0,323.0419145465088,229.99124522842405
27,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p6,-3890.102413286133,55.93030385890961,-177.85320404701233,0.0,234.11532307189935,202.02608466819763
28,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-4959.38678175293,176.6012967466736,-189.90526452056883,0.0,460.85893962646475,576.9948436846923
29,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p1,-4972.792330336914,176.6012967466736,-189.90526452056883,0.0,365.9062977026367,488.69417274032594
30,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C24p2,-4637.465283950196,172.39869608673095,-191.13246131378173,0.0,446.8841824780273,547.0383553173826
