,element_nos,Cs,xDivL,Fx,Mres
1639,49,C55,1.0,-2290.613258340817,1.264496175921987e-05
1659,60,C55,1.0,-2109.0825151376916,1.297322298154503e-05
1679,71,C55,1.0,-1847.0450873619982,2.619126184963478e-05
1699,38,C56,1.0,-892.3954891417887,1.5759378081976364e-05
1719,49,C56,1.0,-752.0975249228472,1.4423903764514333e-05
1739,60,C56,1.0,-570.5667817197225,1.4779757388837851e-05
1740,62,C56,0.0,-175.59494508295543,741.1364870172927
1741,62,C56,1.0,-187.82080544724937,1255.1299899968105
1742,63,C56,0.0,-187.8182194067571,1255.1296955227995
1759,71,C56,1.0,-407.8888990612172,2.6162327985104592e-05
1779,38,C57,1.0,-1975.0788127768901,3.695768769446918e-05
1799,49,C57,1.0,-1989.4222991588397,2.26704361680083e-05
1819,60,C57,1.0,-1898.1903759288598,2.3111702821665503e-05
1839,71,C57,1.0,-1729.8981593979786,4.039855560488489e-05
1859,38,C58,1.0,-972.614119944859,3.726607232389731e-05
1879,49,C58,1.0,-922.970719959621,2.4410344313157787e-05
1899,60,C58,1.0,-831.7387967296407,2.485010127993992e-05
1919,71,C58,1.0,-727.4334665659475,4.066402794141933e-05
1939,38,C67,1.0,-1608.2074446509457,1.0341527792310153e-05
1959,49,C67,1.0,-1839.59607979394,4.129673352517209e-05
1979,60,C67,1.0,-2003.277929059076,4.2212795119351804e-05
1999,71,C67,1.0,-2053.2081739968344,1.0737859675414801e-05
2019,38,C68,1.0,-648.1742093872739,1.0777887270691223e-05
2039,49,C68,1.0,-819.0124428017516,3.959561045750023e-05
2059,60,C68,1.0,-982.6942920668881,4.050102885925117e-05
2079,71,C68,1.0,-1093.1749387331631,1.1160725815861967e-05
2099,38,C69,1.0,-1847.2936660672283,6.38184101097828e-06
2119,49,C69,1.0,-2109.9606305836196,3.649976073954101e-05
2139,60,C69,1.0,-2290.9068141395283,3.7100111295826796e-05
2159,71,C69,1.0,-2330.131143043428,6.485226253006659e-06
2160,29,C70,0.0,-175.8443770607185,738.0251842310829
2161,29,C70,1.0,-188.07023742501264,1205.8388551359176
2162,30,C70,0.0,-188.0668041003322,1205.8389373859716
2179,38,C70,1.0,-408.13747776644686,4.979551748059916e-06
2199,49,C70,1.0,-571.444897165651,3.469013122550637e-05
2219,60,C70,1.0,-752.3910807215593,3.529259515374556e-05
2239,71,C70,1.0,-890.9749547426463,6.19883862768857e-06
2259,38,C71,1.0,-1730.0977758891581,1.834544513475554e-05
2279,49,C71,1.0,-1899.1174539843464,4.714462453316468e-05
2299,60,C71,1.0,-1989.7648175671102,4.764998899379595e-05
2319,71,C71,1.0,-1973.6093161636973,2.15358633753113e-05
2339,38,C72,1.0,-727.6330830571269,1.7844938860799055e-05
2359,49,C72,1.0,-832.6658747851272,4.540813843496575e-05
2379,60,C72,1.0,-923.3132383678911,4.5916278005699914e-05
2385,64,C72,1.0,-799.9887770320418,2478.704610543928
2386,65,C72,0.0,-799.9782148739862,2478.7048216491353
2399,71,C72,1.0,-971.1446233316664,2.1145118639105974e-05
2419,38,C81,1.0,-1609.219609083929,1.0757782897628368e-05
2439,49,C81,1.0,-1842.0403040493109,4.299120716794262e-05
2459,60,C81,1.0,-2000.8337048037054,4.049675938371403e-05
2479,71,C81,1.0,-2052.196009563851,1.0324202314655703e-05
2499,38,C82,1.0,-649.1863738202572,1.1206472475774566e-05
2519,49,C82,1.0,-821.4566670571224,4.128785394595338e-05
2539,60,C82,1.0,-980.2500678115172,3.878595061874296e-05
2559,71,C82,1.0,-1092.1627743001798,1.0733585059275758e-05
2579,38,C83,1.0,-1847.9505518690776,8.303632253593684e-06
2599,49,C83,1.0,-2111.5469052717303,3.739654509375065e-05
2619,60,C83,1.0,-2289.320539451418,3.620945929138023e-05
2639,71,C83,1.0,-2329.474257241578,3.496525109036532e-06
2640,29,C84,0.0,-176.50126286256778,492.1764973163986
2641,29,C84,1.0,-188.72712322686195,1149.843648274119
2642,30,C84,0.0,-188.72368990218152,1149.8434770827917
2659,38,C84,1.0,-408.79436356829626,6.543172373028832e-06
2679,49,C84,1.0,-573.0311718537614,3.558690924079392e-05
2699,60,C84,1.0,-750.8048060334489,3.440232699590402e-05
2719,71,C84,1.0,-890.3180689407969,4.335709104577506e-06
2739,38,C85,1.0,-1730.5121131631756,2.1547848911633147e-05
2759,49,C85,1.0,-1900.1180142315388,4.7782709601059476e-05
2779,60,C85,1.0,-1988.7642573199178,4.701286347607013e-05
2799,71,C85,1.0,-1973.1949788896798,1.831983505324432e-05
2805,31,C86,1.0,-556.8915738467696,2477.2486466327464
2806,32,C86,0.0,-556.878581688714,2477.2488577717772
2819,38,C86,1.0,-728.0474203311444,2.106074297100402e-05
2839,49,C86,1.0,-833.6664350323197,4.604613769203867e-05
2859,60,C86,1.0,-922.3126781206987,4.52793156002649e-05
2879,71,C86,1.0,-970.7302860576489,1.793266213647815e-05
2899,38,C95,1.0,-1608.7758022220803,2.8320872371199028e-05
2919,49,C95,1.0,-1839.0277222228053,2.0962897137474813e-05
2939,60,C95,1.0,-2002.7095714879415,1.8251498371320847e-05
2957,70,C95,1.0,-2019.0238900441173,22.701678452060104
2958,71,C95,0.0,-2019.02934568521,22.70163539324009
2959,71,C95,1.0,-2053.77653162271,2.7968892633316794e-05
2979,38,C96,1.0,-648.7425669584085,2.89951005595977e-05
2999,49,C96,1.0,-818.4440852306172,2.211740864030653e-05
