,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
12625,C3/4B,142,maxFx,C9p12626,9,SLS,3.9740927098751073,13.967254932785034,161.44072433013918,6.330248280334476,22.611056408548354,0.04063065616860986
12125,C3/4B,142,minFx,C9p12126,9,SLS,-3.8249502183290196,20.08586336834207,216.53493629920484,20.95927555320952,-21.743591226910056,0.041398829856614465
12268,C3/4B,142,maxFy,C9p12269,9,SLS,0.07934579106848688,37.232755466578155,181.20964052417278,-105.6133860984018,0.42116059746891266,0.034321317354316705
9955,C3/4B,142,minFy,C9p9956,9,SLS,-1.8783480325222015,10.465811080932617,156.41942235832212,109.77284147796631,-10.794238682794573,0.038396826706081626
7867,C3/4B,142,maxFz,C9p7868,9,SLS,1.9474524698762228,21.99136771213785,248.66348846862314,12.433909970934131,11.149541290237009,0.043196612617659266
12408,C3/4B,142,minFz,C9p12409,9,SLS,-3.687742527961731,15.336454556655886,128.5538215888977,58.44240483245849,-21.135595633745194,0.0499211755104363
9963,C3/4B,142,maxMxx,C9p9964,9,SLS,-1.857764872944355,12.281899756622316,177.0590915966034,133.89427223968505,-10.68610691151619,0.043196942172199486
12276,C3/4B,142,minMxx,C9p12277,9,SLS,0.09667949725668877,36.00081288616433,196.35550570971967,-123.85884239722992,0.588606303741038,0.03051423789608001
12625,C3/4B,142,maxMyy,C9p12626,9,SLS,3.9740927098751073,13.967254932785034,161.44072433013918,6.330248280334476,22.611056408548354,0.04063065616860986
12293,C3/4B,142,minMyy,C9p12294,9,SLS,-3.8111757203431798,18.28797909099832,185.18531618201732,62.92741214988921,-21.822194406841696,0.04016764909374236
9586,C3/4B,142,maxMzz,C9p9587,9,SLS,-1.7792295971870422,15.60880358428955,164.57886902351382,12.707052998352049,-10.198655307531357,0.05689068880453706
12369,C3/4B,142,minMzz,C9p12370,9,SLS,-0.015516443249769508,32.00166903621927,192.76367956454754,-2.8170793570687964,-0.1778088862881064,0.019407521149988168
106819,C3/4C,143,maxFx,C9p12180,9,SLS,6.784939162287861,-0.43846604208201095,193.76817694580234,1.7240849609998987,37.618431240822375,0.042777365343598966
107052,C3/4C,143,minFx,C9p12413,9,SLS,-7.213619961357117,-7.46592091999054,71.2907461566925,56.26953024749756,-40.1609421216011,0.050137637871503826
107731,C3/4C,143,maxFy,C9p13092,9,SLS,2.5846461490154264,7.918388948249818,99.26748550157232,10.78515114746093,14.456584182024,0.022616223452426497
101420,C3/4C,143,minFy,C9p6781,9,SLS,-1.2274627886675296,-8.756923074094951,128.05235987091064,-3.2488291320176796,-6.809509473262726,0.051279658367624825
102409,C3/4C,143,maxFz,C9p7770,9,SLS,-4.753762225999682,-0.3558963292524213,197.5802087099759,1.2508452309278728,-27.686345831410584,0.04483515200871075
107086,C3/4C,143,minFz,C9p12447,9,SLS,6.243743382835388,-6.897997666740418,63.66123558654785,40.381413150024414,35.98538168258667,0.043903726732730866
101789,C3/4C,143,maxMxx,C9p7150,9,SLS,-1.1198124608419837,-6.292119805662335,141.05864870033264,106.69572641607802,-6.73547388714403,0.042706019821157994
107658,C3/4C,143,minMxx,C9p13019,9,SLS,2.481559047818184,5.325198793220522,101.22205078453702,-98.40340370483398,14.59444852734804,0.030038042900897562
106819,C3/4C,143,maxMyy,C9p12180,9,SLS,6.784939162287861,-0.43846604208201095,193.76817694580234,1.7240849609998987,37.618431240822375,0.042777365343598966
107052,C3/4C,143,minMyy,C9p12413,9,SLS,-7.213619961357117,-7.46592091999054,71.2907461566925,56.26953024749756,-40.1609421216011,0.050137637871503826
104226,C3/4C,143,maxMzz,C9p9587,9,SLS,-5.128338642406463,-7.8566720048904415,120.71962894592286,-25.518046882629395,-28.763067876321074,0.057788430213928224
107009,C3/4C,143,minMzz,C9p12370,9,SLS,2.609311365184933,7.29095769944936,124.40961367540044,26.850099855103895,14.536265129961071,0.018782419586507924
201714,C3/4A,144,maxFx,C9p12435,9,SLS,7.045267537117004,-7.325511026477814,68.88263367109299,187.5715018371582,39.88338014984131,0.03945044825859368
201431,C3/4A,144,minFx,C9p12152,9,SLS,-6.761875354579091,-0.3562517161180731,181.71280182993786,144.6832408949149,-37.36647281499877,0.045141182144055526
202371,C3/4A,144,maxFy,C9p13092,9,SLS,-2.572016267430782,21.77490217113495,92.54833500489369,58.488859149169905,-14.707135652458668,0.02240055134916911
195948,C3/4A,144,minFy,C9p6669,9,SLS,1.1389151433110236,-8.579358534460283,117.41317302612066,161.5185861253989,6.94778545798883,0.05150678566117949
197035,C3/4A,144,maxFz,C9p7756,9,SLS,-4.826365958049894,-0.3369206796934359,188.85118721062318,144.23146869967104,-26.370586228779704,0.04438827389932649
201747,C3/4A,144,minFz,C9p12468,9,SLS,3.269067819023132,13.776094984626768,68.87530965551137,67.0598157470703,18.42947517089844,0.020058857830241323
199228,C3/4A,144,maxMxx,C9p9949,9,SLS,1.197344695854187,-7.274936807489396,121.62644203014374,251.2827925445557,6.951819187927246,0.0488045903313905
201569,C3/4A,144,minMxx,C9p12290,9,SLS,-2.6170483776599167,20.086158963603758,120.602380067233,-32.850273026822805,-14.29572097445503,0.025311390043864415
201714,C3/4A,144,maxMyy,C9p12435,9,SLS,7.045267537117004,-7.325511026477814,68.88263367109299,187.5715018371582,39.88338014984131,0.03945044825859368
201431,C3/4A,144,minMyy,C9p12152,9,SLS,-6.761875354579091,-0.3562517161180731,181.71280182993786,144.6832408949149,-37.36647281499877,0.045141182144055526
200322,C3/4A,144,maxMzz,C9p11043,9,SLS,1.1490451849550007,-1.0082315744876862,100.30449878651275,118.46736812744142,6.904290488636494,0.05688657013947377
201285,C3/4A,144,minMzz,C9p12006,9,SLS,-2.574671686065197,14.410979547710205,109.65806365941762,100.35240258658054,-14.621552570728213,0.01844587277640767
296909,C5/6B,145,maxFx,C9p12990,9,SLS,3.866899900424481,-1.382226999664306,59.06047805135846,-44.08846989746093,22.07622380667925,0.00392214199230075
295687,C5/6B,145,minFx,C9p11768,9,SLS,-3.873244047368691,-2.768178352733515,96.66651980953218,25.821288640278574,-21.892513301971555,0.0012638161489550849
296552,C5/6B,145,maxFy,C9p12633,9,SLS,0.00894304044246674,14.248837647247315,43.59887717599869,-107.592091796875,0.11489066259860994,-0.009295063361525536
296227,C5/6B,145,minFy,C9p12308,9,SLS,-3.84977888074033,-6.92368727531042,62.456585599499945,66.08315085951686,-21.981235314884785,0.005920866652000405
290331,C5/6B,145,maxFz,C9p6412,9,SLS,1.8740963322151454,-1.8388796432455998,119.21434126558303,11.625579845112561,10.843218346855046,0.007257087623495319
296692,C5/6B,145,minFz,C9p12773,9,SLS,-3.768006814348698,-1.0083685180664064,29.20343868253827,8.080668518066407,-21.549041313540936,0.01534388430416584
292427,C5/6B,145,maxMxx,C9p8508,9,SLS,-1.9542073091875762,-5.520781731410883,87.92361429260373,85.37769284560085,-11.177166223946212,0.009956094090155966
296560,C5/6B,145,minMxx,C9p12641,9,SLS,0.030298196101188658,13.3774893989563,57.42035359201432,-125.68183610839846,0.3209263039827347,-0.014071223482489586
296909,C5/6B,145,maxMyy,C9p12990,9,SLS,3.866899900424481,-1.382226999664306,59.06047805135846,-44.08846989746093,22.07622380667925,0.00392214199230075
295849,C5/6B,145,minMyy,C9p11930,9,SLS,-3.867331482042,-6.47060684699621,62.41369422359468,63.504296989887955,-22.06844715435803,0.004569326781648852
292022,C5/6B,145,maxMzz,C9p8103,9,SLS,-1.8962470381747931,-0.5854113281210884,75.67401712997558,-22.573823096781968,-10.821309017983078,0.022708600264209962
296652,C5/6B,145,minMzz,C9p12733,9,SLS,-0.038673364138603214,8.184027973937988,55.71480221796036,-29.562714318847664,-0.1634705995321274,-0.024133974374085664
390739,C5/6C,146,maxFx,C9p12180,9,SLS,6.649831024281493,1.0661665925581942,148.4197215153288,-7.5150424516092995,36.49260168637484,0.008123335147567013
390972,C5/6C,146,minFx,C9p12413,9,SLS,-6.802252759504317,0.7990513542175294,28.38640531105995,7.418419993209838,-38.13653736643791,0.013650247816741467
390923,C5/6C,146,maxFy,C9p12364,9,SLS,2.458462215439789,7.370715896375943,73.7554286183428,12.249648440419511,13.328559577409923,-0.01842530080609777
388252,C5/6C,146,minFy,C9p9693,9,SLS,-0.8698956554412839,-1.0476576751708986,67.42973888931274,-46.98064524879455,-4.99347906126976,0.013971431969106198
384873,C5/6C,146,maxFz,C9p6314,9,SLS,-4.361704715348965,0.945601128347684,151.79493630051613,-6.838159471262618,-25.82056306567937,0.00880361321336768
391370,C5/6C,146,minFz,C9p12811,9,SLS,6.109783555287122,1.4012689958572386,21.414990552813933,-7.537104928970337,34.92864758019448,0.007932734893262386
388619,C5/6C,146,maxMxx,C9p10060,9,SLS,-0.7540466151237484,2.344144049072266,79.44378157730102,54.50123253440857,-4.943407785892487,-0.004889557941257954
390848,C5/6C,146,minMxx,C9p12289,9,SLS,2.3298624201459806,3.857448623426725,75.1917809620928,-88.52785326856487,13.30506764396876,-0.003561683111719867
390739,C5/6C,146,maxMyy,C9p12180,9,SLS,6.649831024281493,1.0661665925581942,148.4197215153288,-7.5150424516092995,36.49260168637484,0.008123335147567013
390972,C5/6C,146,minMyy,C9p12413,9,SLS,-6.802252759504317,0.7990513542175294,28.38640531105995,7.418419993209838,-38.13653736643791,0.013650247816741467
386662,C5/6C,146,maxMzz,C9p8103,9,SLS,-4.660069336588866,0.3076974101622593,102.16213034849875,-57.23388760084026,-26.681830155332385,0.022719565654463987
391292,C5/6C,146,minMzz,C9p12733,9,SLS,2.3801601999282833,6.056274460029603,48.247692453098296,6.333985244369505,13.323376258850098,-0.02456644190698862
485634,C5/6A,147,maxFx,C9p12435,9,SLS,6.735890396618843,0.6737729579925538,33.64413064527512,20.243048600769047,37.9749607345581,0.002955878015607596
485351,C5/6A,147,minFx,C9p12152,9,SLS,-6.562392513679897,3.4473564197912814,154.04121670174598,14.342772052287499,-36.16955188328028,0.010720529459683352
485563,C5/6A,147,maxFy,C9p12364,9,SLS,-2.362266767913476,28.513015278472004,80.14969849551917,-87.46500082368905,-13.553409845042228,-0.01906354835975344
482780,C5/6A,147,minFy,C9p9581,9,SLS,0.8729764643669127,-0.9972966952323913,65.87315108863115,-4.191134819030762,5.2870631565094,0.015143688402697442
481067,C5/6A,147,maxFz,C9p7868,9,SLS,-0.8417543412888426,3.478295410861075,161.33051815651655,13.720857348918358,-3.6900985192894913,0.008691431660099079
485667,C5/6A,147,minFz,C9p12468,9,SLS,2.9993283313035963,24.32550115222931,33.628486542069915,-114.82401427154541,16.74152142791748,-0.024092372683435677
480236,C5/6A,147,maxMxx,C9p7037,9,SLS,0.8738509825643147,1.2761328990355136,108.1798740762353,84.15895268125477,5.088863246989252,0.014788580802722027
486217,C5/6A,147,minMxx,C9p13018,9,SLS,-2.3660526940753686,25.818760839462282,70.85711024839878,-177.4933401550293,-12.966926276814938,-0.018573285294324157
485634,C5/6A,147,maxMyy,C9p12435,9,SLS,6.735890396618843,0.6737729579925538,33.64413064527512,20.243048600769047,37.9749607345581,0.002955878015607596
485351,C5/6A,147,minMyy,C9p12152,9,SLS,-6.562392513679897,3.4473564197912814,154.04121670174598,14.342772052287499,-36.16955188328028,0.010720529459683352
481302,C5/6A,147,maxMzz,C9p8103,9,SLS,0.8472774322306734,2.6177166373625402,79.82373222504853,2.170658613871969,5.091234689152241,0.022714728170154744
485932,C5/6A,147,minMzz,C9p12733,9,SLS,-2.3414871683120726,24.876475550460814,73.49718872737884,-105.75184743041993,-13.245875081515313,-0.02532961598113179
42473,C3/4B,142,maxFx,C14p23546,14,STR/GEO Set B,5.944719503642694,18.90807150076598,233.61349013378145,-0.397515661526988,33.84382577670276,0.054261890501720964
44521,C3/4B,142,minFx,C14p25594,14,STR/GEO Set B,-6.3471061727523805,10.888151321778297,185.37067557258607,72.23456890571595,-33.46260162703515,0.03782763816356659
42844,C3/4B,142,maxFy,C14p23917,14,STR/GEO Set B,0.11629996671371162,51.73467564436643,228.42065013700721,-154.88776558614856,0.6127305485600234,0.0448559317090072
40531,C3/4B,142,minFy,C14p21604,14,STR/GEO Set B,-3.4742564113235472,8.063863293938637,149.8259763850403,128.96966250938416,-17.30744310278893,0.03325094674613328
32619,C3/4B,142,maxFz,C14p13692,14,STR/GEO Set B,2.919210294144675,28.870335343348685,329.6036255816293,22.195609890078224,16.709573800618053,0.05816387138209197
43712,C3/4B,142,minFz,C14p24785,14,STR/GEO Set B,-5.583041188311577,15.373078075370788,101.47355217170715,51.94809544647217,-31.96374053704262,0.050536660958975556
34715,C3/4B,142,maxMxx,C14p15788,14,STR/GEO Set B,-3.409124145977125,16.379047838031948,263.59286056472774,190.96200099992626,-16.961929408472184,0.058117131722724195
44308,C3/4B,142,minMxx,C14p25381,14,STR/GEO Set B,0.10804300001636148,44.29571024318695,168.33206759306188,-208.06614238235474,0.6805830705690383,0.021479300744238018
42473,C3/4B,142,maxMyy,C14p23546,14,STR/GEO Set B,5.944719503642694,18.90807150076598,233.61349013378145,-0.397515661526988,33.84382577670276,0.054261890501720964
44689,C3/4B,142,minMyy,C14p25762,14,STR/GEO Set B,-6.32644442577362,8.191324905762674,138.34624539680482,135.1867738007355,-33.580506396932606,0.03598086701925844
34338,C3/4B,142,maxMzz,C14p15411,14,STR/GEO Set B,-3.292071541560516,21.371662248890104,244.8703231771469,9.168740765703838,-16.235024215400816,0.07866275489315963
45129,C3/4B,142,minMzz,C14p26202,14,STR/GEO Set B,-0.4275296149766445,31.35018560741425,147.38712974073408,18.80381336196899,-0.8712612987041473,-0.029087961073666804
137759,C3/4C,143,maxFx,C14p24192,14,STR/GEO Set B,10.51595515632123,-9.849509506979585,261.9042882759142,55.23059476745464,58.41722566948951,0.05852856599079484
138356,C3/4C,143,minFx,C14p24789,14,STR/GEO Set B,-10.956828334655762,-7.349866397819519,44.912747579994196,62.253904353103636,-61.05178048060417,0.05043555179975927
139035,C3/4C,143,maxFy,C14p25468,14,STR/GEO Set B,4.014892025424242,13.96104353359222,86.87563398692267,4.125099331054698,22.427123756728175,0.009339303891751917
126172,C3/4C,143,minFy,C14p12605,14,STR/GEO Set B,-2.023410554626286,-12.064065236597656,163.3351833759308,-10.925125433656198,-11.16943232867539,0.07017151671374255
