,nodeIndex,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,Location,set
0,69,C36p1,-24.50000214402428,-2.800001443042308,1256.1400544067385,31.65834467254274,-205.5855380056355,4.588497630911224,36,FN,ULS B
1,69,C36p2,-22.900000142071153,-2.8000017848391834,1256.140054260254,31.658344672542743,-188.1855309743855,2.455695970754974,36,FN,ULS B
2,69,C36p3,-24.50000097214928,-1.5200005153079332,1256.1400547485352,17.73834232879274,-205.58553331813548,2.5244981191924736,36,FN,ULS B
3,69,C36p4,-22.90000067918053,-1.5200000758548082,1256.140054309082,17.738340766292744,-188.18553175563548,4.647699486379974,36,FN,ULS B
4,69,C36p5,-25.300001655743028,-2.160000857104808,1256.140054650879,24.69834311004274,-214.2855364431355,3.5588976309112232,36,FN,ULS B
5,69,C36p6,-22.09999936082115,-2.160000759448559,1256.1400540649413,24.698341547542743,-179.48552784938548,3.549297337942474,36,FN,ULS B
6,69,C36p7,-24.500000934442234,-1.9878774230916798,1237.9693075006103,26.995029149929216,-238.12588958184227,4.588497980047412,36,FN,ULS B
7,69,C36p8,-22.89999893248911,-1.9878777648885553,1237.969307354126,26.99502914992922,-220.72588255059225,2.4556963198911617,36,FN,ULS B
8,69,C36p9,-24.499999762567235,-0.707876495357305,1237.9693078424073,13.075026806179215,-238.12588489434225,2.524498468328662,36,FN,ULS B
9,69,C36p10,-22.899999469598484,-0.70787605590418,1237.969307402954,13.075025243679217,-220.72588333184225,4.647699835516162,36,FN,ULS B
10,69,C36p11,-25.300000446160983,-1.3478768371541796,1237.969307744751,20.035027587429212,-246.82588801934227,3.5588979800474116,36,FN,ULS B
11,69,C36p12,-22.099998151239106,-1.3478767394979303,1237.9693071588133,20.03502602492922,-212.02587942559225,3.5492976870786617,36,FN,ULS B
12,69,C36p13,-24.500000920177563,-3.6121254479940235,1237.9693075628663,36.21263567336671,-238.12588939817874,4.588498032904725,36,FN,ULS B
13,69,C36p14,-22.899998918224437,-3.612125789790899,1237.9693074163818,36.21263567336672,-220.72588236692874,2.4556963727484744,36,FN,ULS B
14,69,C36p15,-24.49999974830256,-2.332124520259649,1237.969307904663,22.292633329616713,-238.12588471067875,2.5244985211859747,36,FN,ULS B
15,69,C36p16,-22.899999455333813,-2.332124080806524,1237.96930746521,22.292631767116717,-220.72588314817875,4.6476998883734755,36,FN,ULS B
16,69,C36p17,-25.30000043189631,-2.9721248620565235,1237.969307807007,29.252634110866712,-246.82588783567874,3.5588980329047244,36,FN,ULS B
17,69,C36p18,-22.099998136974435,-2.9721247644002737,1237.9693072210696,29.252632548366716,-212.02587924192875,3.5492977399359744,36,FN,ULS B
18,69,C36p19,-24.500000912445568,-3.5693969482381642,1237.9693075628663,35.96053430617922,-238.1258895020598,4.539640783117914,36,FN,ULS B
19,69,C36p20,-22.899998910492442,-3.5693972900350395,1237.9693074163818,35.96053430617922,-220.7258824708098,2.4068391229616637,36,FN,ULS B
20,69,C36p21,-24.49999974057057,-2.2893960205037893,1237.969307904663,22.040531962429217,-238.1258848145598,2.475641271399164,36,FN,ULS B
21,69,C36p22,-22.899999447601818,-2.2893955810506648,1237.96930746521,22.040530399929217,-220.72588325205982,4.598842638586664,36,FN,ULS B
22,69,C36p23,-25.30000042416432,-2.929396362300664,1237.969307807007,29.000532743679216,-246.82588793955983,3.5100407831179137,36,FN,ULS B
23,69,C36p24,-22.099998129242444,-2.9293962646444145,1237.9693072210696,29.00053118117922,-212.0258793458098,3.5004404901491637,36,FN,ULS B
24,69,C36p25,-24.50000094217422,-2.0306059228475393,1237.9693075006103,27.247130517116712,-238.12588947796118,4.637355229834223,36,FN,ULS B
25,69,C36p26,-22.8999989402211,-2.030606264644415,1237.969307354126,27.24713051711672,-220.72588244671118,2.5045535696779724,36,FN,ULS B
26,69,C36p27,-24.499999770299222,-0.7506049951131644,1237.9693078424073,13.327128173366715,-238.12588479046119,2.573355718115473,36,FN,ULS B
27,69,C36p28,-22.89999947733047,-0.7506045556600395,1237.969307402954,13.327126610866717,-220.7258832279612,4.696557085302973,36,FN,ULS B
28,69,C36p29,-25.300000453892974,-1.390605336910039,1237.969307744751,20.287128954616712,-246.82588791546118,3.607755229834223,36,FN,ULS B
29,69,C36p30,-22.0999981589711,-1.3906052392537895,1237.9693071588133,20.287127392116716,-212.0258793217112,3.5981549368654724,36,FN,ULS B
30,69,C36p31,-39.330076637800985,-2.8000013817567377,1228.8228641870116,31.5763897895395,-365.6458701345417,4.6329883855129745,36,FN,ULS B
31,69,C36p32,-37.73007463584786,-2.8000017235536134,1228.8228640405275,31.576389789539505,-348.24586310329175,2.500186725356725,36,FN,ULS B
32,69,C36p33,-39.33007546592599,-1.520000454022363,1228.8228645288089,17.656387445789505,-365.6458654470418,2.5689888737942246,36,FN,ULS B
33,69,C36p34,-37.730075172957235,-1.5200000145692383,1228.8228640893556,17.656385883289506,-348.24586388454173,4.692190240981725,36,FN,ULS B
34,69,C36p35,-40.13007614951974,-2.1600007958192378,1228.8228644311523,24.6163882270395,-374.3458685720417,3.6033883855129742,36,FN,ULS B
35,69,C36p36,-36.93007385459786,-2.1600006981629885,1228.822863845215,24.616386664539508,-339.54585997829173,3.593788092544225,36,FN,ULS B
36,69,C36p37,-39.33007671171462,-2.8000013820835203,1233.4496163110352,31.59026985303514,-355.6891000417683,4.632988361202124,36,FN,ULS B
37,69,C36p38,-37.730074709761496,-2.8000017238803956,1233.449616164551,31.590269853035142,-338.2890930105183,2.5001867010458745,36,FN,ULS B
38,69,C36p39,-39.33007553983961,-1.5200004543491454,1233.4496166528322,17.67026750928514,-355.6890953542683,2.568988849483374,36,FN,ULS B
39,69,C36p40,-37.73007524687087,-1.5200000148960204,1233.449616213379,17.67026594678514,-338.2890937917683,4.692190216670874,36,FN,ULS B
40,69,C36p41,-40.13007622343337,-2.16000079614602,1233.4496165551757,24.630268290535135,-364.3890984792683,3.6033883612021236,36,FN,ULS B
41,69,C36p42,-36.93007392851149,-2.160000698489771,1233.4496159692383,24.630266728035142,-329.5890898855183,3.5937880682333745,36,FN,ULS B
42,69,C36p43,-39.464884977644736,-2.8000014362306147,1230.3350405834963,31.58092964536302,-366.7437965407917,4.633407799346593,36,FN,ULS B
43,69,C36p44,-37.86488297569161,-2.8000017780274904,1230.3350404370117,31.580929645363025,-349.34378950954175,2.500606139190343,36,FN,ULS B
44,69,C36p45,-39.464883805769745,-1.52000050849624,1230.335040925293,17.66092730161302,-366.7437918532917,2.5694082876278426,36,FN,ULS B
45,69,C36p46,-37.864883512800986,-1.520000069043115,1230.33504048584,17.660925739113022,-349.34379029079173,4.692609654815342,36,FN,ULS B
46,69,C36p47,-40.26488448936349,-2.1600008502931147,1230.335040827637,24.620928082863017,-375.44379497829175,3.603807799346593,36,FN,ULS B
47,69,C36p48,-37.064882194441616,-2.1600007526368654,1230.3350402416993,24.620926520363025,-340.6437863845417,3.594207506377843,36,FN,ULS B
48,69,C36p49,-39.46488505155837,-2.8000014365573973,1234.9617927075196,31.594809708858655,-356.78702644801825,4.633407775035743,36,FN,ULS B
49,69,C36p50,-37.86488304960524,-2.8000017783542726,1234.961792561035,31.59480970885866,-339.38701941676834,2.5006061148794925,36,FN,ULS B
50,69,C36p51,-39.46488387968338,-1.5200005088230224,1234.9617930493164,17.674807365108656,-356.7870217605183,2.569408263316992,36,FN,ULS B
51,69,C36p52,-37.86488358671462,-1.5200000693698974,1234.9617926098633,17.67480580260866,-339.3870201980183,4.692609630504492,36,FN,ULS B
52,69,C36p53,-40.26488456327712,-2.160000850619897,1234.9617929516603,24.634808146358655,-365.48702488551834,3.6038077750357425,36,FN,ULS B
53,69,C36p54,-37.06488226835524,-2.160000752963648,1234.9617923657227,24.63480658385866,-330.6870162917683,3.5942074820669925,36,FN,ULS B
54,69,C36p55,-24.500000797957238,-2.800001435257867,1299.0955614819336,31.594431434475116,-244.86971013454178,4.588498146102575,36,FN,ULS B
55,69,C36p56,-22.899998796004112,-2.8000017770547423,1299.0955613354495,31.59443143447512,-227.46970310329175,2.455696485946324,36,FN,ULS B
56,69,C36p57,-24.49999962608224,-1.5200005075234921,1299.0955618237306,17.674429090725116,-244.86970544704175,2.5244986343838245,36,FN,ULS B
57,69,C36p58,-22.899999333113488,-1.5200000680703671,1299.0955613842775,17.67442752822512,-227.46970388454176,4.647700001571325,36,FN,ULS B
58,69,C36p59,-25.300000309675987,-2.1600008493203666,1299.0955617260743,24.634429871975115,-253.56970857204175,3.558898146102574,36,FN,ULS B
59,69,C36p60,-22.099998014754114,-2.1600007516641173,1299.0955611401369,24.63442830947512,-218.76969997829175,3.549297853133824,36,FN,ULS B
60,69,C36p61,-24.50000087187087,-2.800001435584649,1303.722313605957,31.60831149797075,-234.9129400417683,4.588498121791724,36,FN,ULS B
61,69,C36p62,-22.899998869917745,-2.800001777381525,1303.7223134594728,31.608311497970753,-217.51293301051828,2.4556964616354735,36,FN,ULS B
62,69,C36p63,-24.499999699995872,-1.5200005078502745,1303.722313947754,17.68830915422075,-234.9129353542683,2.524498610072974,36,FN,ULS B
63,69,C36p64,-22.89999940702712,-1.5200000683971495,1303.7223135083009,17.688307591720754,-217.51293379176832,4.647699977260475,36,FN,ULS B
64,69,C36p65,-25.30000038358962,-2.1600008496471492,1303.7223138500976,24.64830993547075,-243.61293847926828,3.5588981217917235,36,FN,ULS B
65,69,C36p66,-22.09999808866775,-2.1600007519908995,1303.7223132641602,24.648308372970753,-208.81292988551832,3.5492978288229735,36,FN,ULS B
66,69,C36p67,-24.50000070457345,12.131145049117135,1230.3350440698243,-90.0183038780249,-244.86970895740234,4.588482462891579,36,FN,ULS B
67,69,C36p68,-22.899998702620323,12.13114470732026,1230.3350439233398,-90.0183038780249,-227.4697019261523,2.455680802735329,36,FN,ULS B
68,69,C36p69,-24.49999953269845,13.41114597685151,1230.335044411621,-103.93830622177488,-244.86970426990231,2.5244829511728293,36,FN,ULS B
69,69,C36p70,-22.8999992397297,13.411146416304636,1230.3350439721683,-103.9383077842749,-227.46970270740232,4.64768431836033,36,FN,ULS B
70,69,C36p71,-25.300000216292197,12.771145635054634,1230.335044313965,-96.97830544052489,-253.56970739490234,3.558882462891579,36,FN,ULS B
71,69,C36p72,-22.099997921370324,12.771145732710886,1230.3350437280276,-96.9783070030249,-218.76969880115232,3.549282169922829,36,FN,ULS B
72,69,C36p73,-24.500000778487085,12.131145048790351,1234.9617961938477,-90.00442381452926,-234.91293886462887,4.588482438580729,36,FN,ULS B
73,69,C36p74,-22.89999877653396,12.131144706993476,1234.9617960473631,-90.00442381452926,-217.51293183337887,2.4556807784244783,36,FN,ULS B
74,69,C36p75,-24.499999606612086,13.411145976524725,1234.9617965356445,-103.92442615827926,-234.91293417712888,2.5244829268619786,36,FN,ULS B
75,69,C36p76,-22.899999313643335,13.411146415977852,1234.9617960961916,-103.92442772077926,-217.51293261462888,4.647684294049479,36,FN,ULS B
76,69,C36p77,-25.30000029020583,12.771145634727851,1234.9617964379884,-96.96442537702926,-243.61293730212887,3.5588824385807283,36,FN,ULS B
77,69,C36p78,-22.099997995283957,12.771145732384102,1234.961795852051,-96.96442693952926,-208.81292870837888,3.5492821456119783,36,FN,ULS B
78,69,C36p79,-9.669912008894737,-2.8000014537400753,1228.8228661791993,31.576395703846146,-124.09350232204176,4.544033571670202,36,FN,ULS B
79,69,C36p80,-8.069910006941612,-2.800001795536951,1228.822866032715,31.57639570384615,-106.69349529079174,2.4112319115139518,36,FN,ULS B
80,69,C36p81,-9.669910837019737,-1.5200005260057006,1228.8228665209963,17.656393360096146,-124.09349763454175,2.480034059951451,36,FN,ULS B
81,69,C36p82,-8.069910544050986,-1.5200000865525756,1228.822866081543,17.65639179759615,-106.69349607204174,4.6032354271389515,36,FN,ULS B
82,69,C36p83,-10.469911520613486,-2.1600008678025753,1228.8228664233397,24.616394141346145,-132.79350075954176,3.514433571670201,36,FN,ULS B
83,69,C36p84,-7.269909225691611,-2.1600007701463255,1228.8228658374023,24.61639257884615,-97.99349216579175,3.504833278701452,36,FN,ULS B
84,69,C36p85,-9.66991208280837,-2.800001454066858,1233.4496183032227,31.59027576734178,-114.13673222926832,4.5440335473593505,36,FN,ULS B
85,69,C36p86,-8.069910080855246,-2.800001795863733,1233.4496181567383,31.590275767341783,-96.7367251980183,2.411231887203101,36,FN,ULS B
86,69,C36p87,-9.669910910933371,-1.520000526332483,1233.4496186450197,17.67027342359178,-114.13672754176831,2.4800340356406005,36,FN,ULS B
87,69,C36p88,-8.06991061796462,-1.520000086879358,1233.4496182055664,17.670271861091784,-96.7367259792683,4.6032354028281,36,FN,ULS B
88,69,C36p89,-10.46991159452712,-2.1600008681293574,1233.4496185473633,24.63027420484178,-122.83673066676832,3.51443354735935,36,FN,ULS B
89,69,C36p90,-7.269909299605245,-2.160000770473108,1233.449617961426,24.630272642341787,-88.03672207301831,3.5048332543906007,36,FN,ULS B
90,69,C36p91,-9.535111637800986,-2.80000139829345,1230.3350425756837,31.580927920681166,-122.99560779079175,4.543644017303136,36,FN,ULS B
91,69,C36p92,-7.935109635847862,-2.800001740090326,1230.3350424291993,31.58092792068117,-105.59560075954175,2.4108423571468856,36,FN,ULS B
92,69,C36p93,-9.535110465925987,-1.5200004705590755,1230.3350429174805,17.660925576931167,-122.99560310329176,2.479644505584386,36,FN,ULS B
93,69,C36p94,-7.935110172957236,-1.5200000311059505,1230.3350424780274,17.66092401443117,-105.59560154079175,4.602845872771886,36,FN,ULS B
94,69,C36p95,-10.335111149519737,-2.16000081235595,1230.3350428198244,24.620926358181165,-131.69560622829175,3.5140440173031355,36,FN,ULS B
95,69,C36p96,-7.135108854597861,-2.1600007146997005,1230.3350422338867,24.62092479568117,-96.89559763454174,3.5044437243343856,36,FN,ULS B
96,69,C36p97,-9.53511171171462,-2.800001398620233,1234.961794699707,31.594807984176803,-113.03883769801831,4.543643992992285,36,FN,ULS B
97,69,C36p98,-7.9351097097614955,-2.800001740417108,1234.9617945532227,31.594807984176807,-95.63883066676831,2.410842332836035,36,FN,ULS B
98,69,C36p99,-9.535110539839621,-1.5200004708858579,1234.9617950415038,17.674805640426804,-113.03883301051832,2.479644481273535,36,FN,ULS B
99,69,C36p100,-7.935110246870869,-1.5200000314327329,1234.9617946020508,17.674804077926805,-95.63883144801831,4.602845848461036,36,FN,ULS B
100,69,C36p101,-10.33511122343337,-2.1600008126827324,1234.9617949438477,24.6348064216768,-121.73883613551831,3.514043992992285,36,FN,ULS B
101,69,C36p102,-7.135108928511495,-2.160000715026483,1234.96179435791,24.634804859176807,-86.9388275417683,3.504443700023535,36,FN,ULS B
102,69,C36p103,-24.50000061118966,-17.59662745088287,1228.8228656811523,152.0801145594751,-244.86970546957153,4.588487193866667,36,FN,ULS B
103,69,C36p104,-22.899998609236533,-17.596627792679744,1228.8228655346682,152.0801145594751,-227.4696984383215,2.455685533710417,36,FN,ULS B
104,69,C36p105,-24.49999943931466,-16.316626523148493,1228.8228660229493,138.16011221572512,-244.8697007820715,2.5244876821479174,36,FN,ULS B
105,69,C36p106,-22.89999914634591,-16.31662608369537,1228.8228655834962,138.1601106532251,-227.4696992195715,4.647689049335418,36,FN,ULS B
106,69,C36p107,-25.300000122908408,-16.956626864945367,1228.822865925293,145.1201129969751,-253.5697039070715,3.558887193866667,36,FN,ULS B
107,69,C36p108,-22.099997827986535,-16.95662676728912,1228.8228653393555,145.12011143447512,-218.7696953133215,3.549286900897917,36,FN,ULS B
108,69,C36p109,-24.50000068510329,-17.59662745120965,1233.4496178051756,152.09399462297077,-234.91293537679806,4.588487169555817,36,FN,ULS B
109,69,C36p110,-22.899998683150166,-17.596627793006526,1233.4496176586915,152.09399462297077,-217.51292834554806,2.4556855093995664,36,FN,ULS B
110,69,C36p111,-24.499999513228293,-16.316626523475275,1233.4496181469729,138.17399227922076,-234.91293068929807,2.5244876578370667,36,FN,ULS B
111,69,C36p112,-22.89999922025954,-16.31662608402215,1233.4496177075196,138.17399071672077,-217.51292912679807,4.647689025024567,36,FN,ULS B
112,69,C36p113,-25.300000196822044,-16.95662686527215,1233.4496180493163,145.13399306047074,-243.61293381429806,3.5588871695558164,36,FN,ULS B
113,69,C36p114,-22.09999790190017,-16.9566267676159,1233.449617463379,145.13399149797075,-208.81292522054807,3.5492868765870664,36,FN,ULS B
114,69,C36p115,-24.500000829085167,-17.73114194307037,1230.3350400854492,153.18015268447513,-244.86971169219504,4.5884811442055895,36,FN,ULS B
