,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
7973,FN,69,maxFx,C36p7974,36,ULS B,32.64297112711559,9.80204492861958e-07,1064.0142101245117,0.8166317808305478,212.6382642299434,-0.09779504350184762
1816,FN,69,minFx,C36p1817,36,ULS B,-74.64294566061231,6.279341876961553e-07,1157.1108603784182,1.095931712013406,-644.1410568337603,0.223977946287516
2043,FN,69,maxFy,C36p2044,36,ULS B,-19.119995542407352,51.274490749453456,1141.688364116211,-420.63711908541086,-209.74832084941556,2.6329112661585357
8335,FN,69,minFy,C36p8336,36,ULS B,-19.119994926147964,-51.274469913142475,1079.436709362793,422.5496552155458,-180.86452247590597,-2.5183012477537963
1958,FN,69,maxFz,C36p1959,36,ULS B,-22.87999678854199,1.5040014343993366,1386.3125969360353,-15.21506416021711,-217.44909480251053,-2.3565597503982754
10013,FN,69,minFz,C36p10014,36,ULS B,-68.8335817144894,0.8121245863522589,804.4936160577392,-3.8072954206312444,-619.6859531665759,0.20650054545645918
2724,FN,69,maxMxx,C36p2725,36,ULS B,-22.879999646208006,-51.27446910515145,1157.1108581445312,422.7826788475954,-217.44911101031306,2.493782429150838
7647,FN,69,minMxx,C36p7648,36,ULS B,-19.119995526937153,51.27449074468509,1064.014215678711,-420.8701427174604,-214.05374883844598,2.6329114906210895
2459,FN,69,maxMyy,C36p2460,36,ULS B,30.482966814079564,5.149583517777502e-07,1134.2416131103516,1.1504377161561712,259.1832678537395,-0.09131466987791445
7342,FN,69,minMyy,C36p7343,36,ULS B,-74.64294539876333,6.242550909973944e-07,1064.01420486084,0.8166412016450588,-681.635718465369,0.22397825178623845
6027,FN,69,maxMzz,C36p6028,36,ULS B,-17.499994518012617,3.5694000538294017,1160.2951586358643,-33.8859102047766,-166.3062901232416,4.896363571972558
151,FN,69,minMzz,C36p152,36,ULS B,-17.499992153900646,-3.5693984435994923,1237.969306921997,35.960534306179206,-162.00085874034104,-4.79136648006568
11998,FN,69,maxFx,C37p791,37,SLS,30.942922213236244,4.3390840289703195e-07,985.7274463378906,0.8871814178466876,260.36736937799674,-0.09275067747851426
11815,FN,69,minFx,C37p608,37,SLS,-51.94290835161433,2.957955002784729e-07,868.7995029541015,0.9143979977380486,-461.22216997747205,0.15585792582361024
