,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
12625,C3/4B,142,maxFx,C9p12626,9,SLS,3.8668534379005433,-0.13143837108612047,75.24289459362029,-58.68859850158691,22.111593197059634,-0.0034141211256384844
12125,C3/4B,142,minFx,C9p12126,9,SLS,-3.9309177906209607,6.105203140939307,130.33620527567865,-48.26490662082527,-22.238277990284185,-0.002673209780132447
12268,C3/4B,142,maxFy,C9p12269,9,SLS,-0.026309620016254472,22.988373050607276,95.01081728692056,-170.517271745337,-0.07605306943915786,-0.009651099306022799
12671,C3/4B,142,minFy,C9p12672,9,SLS,-3.8706439183712007,-3.444412930297852,62.612579223823545,49.310882626342774,-22.06380794696808,-0.004225356362760067
7867,C3/4B,142,maxFz,C9p7868,9,SLS,1.8397372384613384,7.903133434213232,162.46613123631477,-58.739563603247156,10.65494512010552,-0.00106637290087906
12408,C3/4B,142,minFz,C9p12409,9,SLS,-3.79340018696785,1.3125282135009766,42.35398214588165,-4.37563376159668,-21.641835689544678,0.005533377316594124
9963,C3/4B,142,maxMxx,C9p9964,9,SLS,-1.9638863298177718,-1.6774084167480472,90.85962421388628,66.82925121154784,-11.190816855239868,-0.0011161374494433405
12276,C3/4B,142,minMxx,C9p12277,9,SLS,-0.009571567791141562,21.705618068803382,110.15685224785805,-189.68033414768072,0.09391317621208728,-0.0136823839720842
12625,C3/4B,142,maxMyy,C9p12626,9,SLS,3.8668534379005433,-0.13143837108612047,75.24289459362029,-58.68859850158691,22.111593197059634,-0.0034141211256384844
12293,C3/4B,142,minMyy,C9p12294,9,SLS,-3.9165172817403455,4.023342423165869,98.98549140849114,-2.16895544895027,-22.325052007618172,-0.004133535617267763
11014,C3/4B,142,maxMzz,C9p11015,9,SLS,-1.9379111796736719,8.795809743499756,93.85579676766397,-89.97872874794007,-11.057126504206657,0.013360793283599197
12004,C3/4B,142,minMzz,C9p12005,9,SLS,-0.04453428566996009,10.776331485093664,91.80550949678421,-43.82025592159126,-0.15496668745540082,-0.024919456042044614
106819,C3/4C,143,maxFx,C9p12180,9,SLS,6.9045182151794435,6.689115796700261,150.5928200754827,-46.70500845903959,37.993465246838326,-0.0015030003344794758
107052,C3/4C,143,minFx,C9p12413,9,SLS,-7.093640955662728,-0.3869537553787232,28.115622447299955,17.27234123573303,-39.78208600869179,0.004559193286299706
107731,C3/4C,143,maxFy,C9p13092,9,SLS,2.7074650853246456,15.103348545265199,56.09067133855279,-31.065179720306393,14.84023026137352,-0.022101683297450655
101308,C3/4C,143,minFy,C9p6669,9,SLS,-4.965084172996879,-1.735162655696133,84.90666320762635,-45.802060250612165,-28.276878704690937,0.007697689571099726
102409,C3/4C,143,maxFz,C9p7770,9,SLS,-4.635109805130958,6.70042859891965,154.40612963826118,-47.06312009481993,-27.307992247450354,0.00030925265046153
107086,C3/4C,143,minFz,C9p12447,9,SLS,6.3642708887100214,0.2931400590896607,20.484357722473145,1.3445417430877686,36.35550920181275,-0.0007327273771166802
104589,C3/4C,143,maxMxx,C9p9950,9,SLS,-4.894178703880311,0.8069104537010194,80.29343584856987,63.528822340583794,-28.31610485444069,-0.0010629122883081437
106930,C3/4C,143,minMxx,C9p12291,9,SLS,2.6403850072145465,12.505701935807013,75.66626374682839,-141.24942308878508,15.09740323459506,-0.014974525794961117
